OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,DateUpdate,SiteReferenceAlternate,Easting,Northing,Planning_Ref,BoundRef
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00313,,"""Cross Chancellor Street, Woodhouse,  LS7""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00313,ETRS89,-1.54456044,53.81349616,0.70,not owned by a public authority,yes,permissioned,full planning permission,02/03/2021,,,19,"Change of use of ground floor undercroft car parking to create additional student accommodation consisting of up to 19 self-contained units, with external alterations and associated landscaping works to create new servicing area",,,19,19,,,,20/12/2022,20/12/2022,718,429984,435366,19/05952/FU,SHL003131
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00318,,"""High Royds Bradford Road Menston""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00318,ETRS89,-1.73398898,53.88235868,24.63,not owned by a public authority,yes,permissioned,full planning permission,08/08/2017,,,30,Conversion of the former administration block and workshops to create 46 residential units and one retail unit and erect 25 new dwellings,,,30,30,,,,20/12/2022,20/12/2022,734,417484,442963,16/04643/FU,SHL003181
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00333,,"""The Mansion, Woodlea Drive, LS6""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00333,ETRS89,-1.56523280,53.83876133,1.00,not owned by a public authority,yes,permissioned,full planning permission,26/04/2006,,,17,Change of use involving alterations of former hospital building to 25 apartments and erection of 24 residential units,,,17,17,,,,11/07/2016,20/12/2022,764,428606,438168,30/618/04/FU,SHL003331
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00336,,"""Bramham House, Bowcliffe Road, Bramham""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00336,ETRS89,-1.35195785,53.87847661,2.11,owned by a public authority,yes,permissioned,full planning permission,07/02/2020,,,10,"Demolition of Bramham House, retention of front facade and redevelopment to form care home, with 8 close-care dwellings, 6 close-care apartments and 10 detached houses, laying out of access road and new vehicle access to Freely Lane",,,10,10,,,,11/07/2016,20/12/2022,778,442598,442693,18/01609/FU,SHL003361
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00360,,"""Amberton Terrace, Gipton,  LS8""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00360,ETRS89,-1.49278620,53.81924475,1.84,owned by a public authority,,not permissioned,,,,,57,,,,57,57,,,,21/12/2020,20/12/2022,817,433388,436028,,SHL003601
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01747,,"""Stocks Blocks site,  Ninelands Lane, Garforth""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01747,ETRS89,-1.37390462,53.78916720,7.99,not owned by a public authority,yes,not permissioned,,,,,14,,,,14,14,,,,19/12/2017,20/12/2022,5268,441243,432745,,SHL017471
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01751,,"""Globe Quay, Globe Road, Holbeck""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01751,ETRS89,-1.55216406,53.79250999,0.11,not owned by a public authority,,not permissioned,,,,,16,,,,16,16,,,,11/07/2016,20/12/2022,5272,429498,433028,,SHL017511
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00411,,"""Government Buildings , Otley Road, LS16 5pu""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00411,ETRS89,-1.58825370,53.84670326,4.70,not owned by a public authority,yes,permissioned,reserved matters approval,04/04/2016,,,4,Reserved Matters application for residential development,,,4,4,,,,11/07/2016,20/12/2022,1033,427086,439042,15/06808/RM,SHL004111
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00443,,"""Tetleys Motor Services Ltd, 76 Goodman Street Hunslet LS10""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00443,ETRS89,-1.52389840,53.78361160,0.62,not owned by a public authority,,not permissioned,,,,,36,,,,36,36,,,,11/07/2016,20/12/2022,1065,431367,432050,,SHL004432
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00455,,"""Nethertown Pig Farm, Old Lane, Drighlington, Leeds, BD11 1LU""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00455,ETRS89,-1.65028977,53.76031671,1.30,not owned by a public authority,,permissioned,full planning permission,09/08/2021,,,23,"36 residential dwellings, landscaping and associated infrastructure and inclusion of land to form open space.",,,23,23,,,,11/07/2016,20/12/2022,1077,423053,429410,17/02163/FU,SHL004551
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00456,,"""Saxton Lane / Marsh Lane LS9""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00456,ETRS89,-1.52943543,53.79563290,0.19,not owned by a public authority,yes,permissioned,full planning permission,18/03/2022,,,196,"Demolition of the existing buildings and construction of a new building for residential (Use Class C3) purposes incorporating communal areas for residents use, along with servicing, car parking, covered cycle parking, landscaping, highways and associated works",,,196,196,,,,11/07/2016,20/12/2022,1078,430993,433385,20/04145/FU,SHL004562
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00461,,"""Bridgewater Road North""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00461,ETRS89,-1.51865755,53.78430065,11.19,not owned by a public authority,,not permissioned,,,,,546,,,,546,546,,,,21/12/2020,20/12/2022,1083,431711,432129,,SHL004612
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00503,,"""Braims Pressings Ltd, Hunslet Road, LS10""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00503,ETRS89,-1.53186578,53.78753408,2.28,not owned by a public authority,,not permissioned,,,,,100,,,,100,100,,,,19/12/2017,20/12/2022,1125,430839,432483,,SHL005032
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00520,,"""Land And Property At Oak House, Park Lane Leeds LS3""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00520,ETRS89,-1.55993381,53.80064766,0.21,not owned by a public authority,yes,permissioned,full planning permission,17/12/2019,,,39,"Demolition of all existing buildings and structures and the erection of a series of inter-linked townhouse blocks (3-6 storeys in height) for student accommodation use (sui generis), alongside landscaping, access and various associated highway and public realm works (with the site boundary extended to include highway works within Park Lane) with revisions to the design and increased areas of landscaping.",,,39,39,,,,21/12/2020,20/12/2022,1142,428981,433930,19/04278/FU,SHL005201
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00642,,"""Former Gas Works, Armley Gyratory""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00642,ETRS89,-1.56732851,53.79396737,5.00,not owned by a public authority,,not permissioned,,,,,122,,,,122,122,,,,11/07/2016,20/12/2022,1265,428498,433184,,SHL006421
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00674,,"""Former Vickers Tank Factory Site, Manston Lane, Cross Gates""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00674,ETRS89,-1.43096093,53.80575855,21.49,not owned by a public authority,yes,permissioned,full planning permission,26/08/2020,,,436,"437 dwellings with new roads, open space, landscaping, drainage and associated works",,,436,436,,,,11/07/2016,20/12/2022,1297,437470,434559,18/07433/FU,SHL006741
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00699,,"""Airedale Mills, Rodley""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00699,ETRS89,-1.65167848,53.82073258,1.93,not owned by a public authority,yes,permissioned,outline planning permission,09/07/2019,,,69,"Outline planning application with all matters reserved (except for means of access to, but not within the site) for the development of up to 69 dwellings and full details of the new swing bridge",,,69,69,,,,11/07/2016,20/12/2022,1322,422928,436131,18/01501/OT,SHL006991
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00715,,"""Mistress Lane Armley""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00715,ETRS89,-1.58426195,53.79761494,1.19,owned by a public authority,yes,permissioned,full planning permission,06/05/2021,,,41,"Three detached blocks comprising 18 one bedroom flats and 10 two bedroom flats; 6 semi-detached houses, all to be affordable housing; one multi-purpose community space with associated parking and public external space",,,41,41,,,,11/07/2016,20/12/2022,1338,427381,433583,20/01898/FU,SHL007151
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01784,,"""Hough Top Court Amenity Space, Hough Top, Pudsey""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01784,ETRS89,-1.64005717,53.79840697,2.52,owned by a public authority,,not permissioned,,,,,76,,,,76,76,,,,19/12/2017,20/12/2022,5305,423706,433651,,SHL017841
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01818,,"""York road/ South Parkway, Seacroft""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01818,ETRS89,-1.45653273,53.81615800,1.22,owned by a public authority,yes,permissioned,full planning permission,14/06/2017,,,5,"33 dwellings, creation of new public space and associated highway improvements",,,5,5,,,,11/07/2016,20/12/2022,5333,435777,435702,16/07380/FU,SHL018181
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01827,,"""The Fellmonger, North Parkway, Seacroft, Leeds, LS14 6QS""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01827,ETRS89,-1.47293898,53.82116803,0.19,not owned by a public authority,yes,permissioned,full planning permission,19/01/2017,,,12,Demolition of public house and erect part two storey and part three storey block of 12 flats,,,12,12,,,,19/12/2017,20/12/2022,5342,434693,436252,16/07572/FU,SHL018271
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01830,,"""101 Commercial Road, Kirkstall, Leeds, LS5 3AD""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01830,ETRS89,-1.59639505,53.81212281,0.31,not owned by a public authority,yes,permissioned,full planning permission,24/07/2017,,,8,Extension of existing residential block to form 8 additional apartments,,,8,8,,,,19/12/2017,20/12/2022,5345,426572,435192,17/01549/FU,SHL018301
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00212,,"""Portland Crescent LS1""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00212,ETRS89,-1.54605762,53.80289890,0.92,mixed ownership,,not permissioned,,,,,50,,,,50,50,,,,11/07/2016,20/12/2022,454,429893,434186,,SHL002121
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00214,,"""Rear 2-28 The Calls LS2""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00214,ETRS89,-1.53851207,53.79455135,0.35,not owned by a public authority,,permissioned,full planning permission,24/02/2015,,,77,"Demolition of existing buildings and construction of 77 apartments, and bar/restaurant and office development (Use Classes A3 / A4 / B1) with 2 level basement parking and laying out of public open space",,,77,77,,,,11/07/2016,20/12/2022,456,430396,433261,13/02034/FU,SHL002141
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00219,,"""Hunslet Mill, Goodman Street LS10""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00219,ETRS89,-1.52346024,53.78484525,2.29,not owned by a public authority,yes,permissioned,other,17/05/2017,,,539,"Change of use, extensions, alterations and new build of warehouse and factory to flats - NON MATERIAL AMENDMENT to 21/100/00/FU - approval of condition 27 (drawings and statement)",,,539,539,,,,11/07/2016,20/12/2022,467,431395,432187,17/9/00142/MOD,SHL002192
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00224,,"""Shaftesbury House Beeston Road LS11""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00224,ETRS89,-1.55012510,53.78107207,0.51,owned by a public authority,yes,permissioned,other,31/08/2010,,,1,"Extension of time application for application number 08/04065/LA , Outline application for residential development",,,1,1,,,,11/07/2016,20/12/2022,476,429641,431756,10/02956/EXT,SHL002241
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00240,,"""Main Street Carlton             """,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00240,ETRS89,-1.48776681,53.73991627,0.50,mixed ownership,,not permissioned,,,,,15,,,,15,15,,,,11/07/2016,20/12/2022,507,433782,427206,,SHL002401
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00261,,"""Manor House Farm, Baghill Green Wa""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00261,ETRS89,-1.58251843,53.71931429,0.62,not owned by a public authority,yes,permissioned,reserved matters approval,06/02/2007,,,2,6 detached houses,,,2,2,,,,11/07/2016,20/12/2022,551,427547,424873,06/04729/RM,SHL002611
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00271,,"""Cliff House Fawcett Lane LS12""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00271,ETRS89,-1.59877288,53.78536244,1.34,mixed ownership,yes,permissioned,full planning permission,28/06/2017,,,7,Seven houses with car parking and landscaping,,,7,7,,,,11/07/2016,20/12/2022,595,426433,432214,16/08004/FU,SHL002711
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00278,,"""Canal Wharf Wyther Lane LS5""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00278,ETRS89,-1.60667869,53.81309787,1.12,not owned by a public authority,yes,permissioned,full planning permission,17/04/2018,,,51,Demolition of existing industrial & manufacturing units and erection of 51 new residential dwellings,,,51,51,,,,11/07/2016,20/12/2022,625,425895,435297,17/06071/FU,SHL002781
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00737,,"""Marsh Lane Goods Yard""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00737,ETRS89,-1.52563962,53.79680040,3.67,not owned by a public authority,yes,permissioned,full planning permission,18/03/2022,,,1016,"Residential development comprising five residential blocks of dwellings (C3 use), commercial and community uses (A1, A2, A3, A4, A5, B1, D1 and D2 uses), public houses, wine bars, or drinking establishments, hot food takeaways, communal spaces, service areas, accessways, landscaping and car parking and related site preparation and demolition works",,,1016,1016,,,,11/07/2016,20/12/2022,2000,431242,433516,19/04471/FU,SHL007372
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00738,,"""St Peters Square""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00738,ETRS89,-1.53198723,53.79654622,0.10,not owned by a public authority,yes,permissioned,full planning permission,10/10/2018,,,56,"Eight storey building comprising 56 flats with flexible commercial units (A1, A2, A3, A4, B1 or D1) at ground floor and part first floor",,,56,56,,,,11/07/2016,20/12/2022,2001,430824,433485,18/02577/FU,SHL007381
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00741,,"""Leeds College Of Building""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00741,ETRS89,-1.53391312,53.80271479,0.90,not owned by a public authority,,not permissioned,,,,,180,,,,180,180,,,,11/07/2016,20/12/2022,2004,430693,434171,,SHL007411
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00746,,"""Carlsberg Uk Ltd Brewery, Black Bull Street""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00746,ETRS89,-1.53773724,53.79151580,11.00,mixed ownership,yes,permissioned,outline planning permission,14/12/2018,,,850,"Outline application (all matters reserved except for access) for a phased mixed use development comprising demolition of existing buildings, up to 850 residential units (C3), business uses (B1), flexible commercial uses (A1, A2, A3, A4, A5, B1, D1, D2), hotel use (C1), public realm including a City Park and vehicular access.",,,850,850,,,,11/07/2016,20/12/2022,2009,430449,432923,17/02501/OT,SHL007461
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00755,,"""Silver Street/ Midland Mills North""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00755,ETRS89,-1.55450455,53.79086713,0.27,not owned by a public authority,,not permissioned,,,,,180,,,,180,180,,,,19/12/2017,20/12/2022,2018,429345,432844,,SHL007551
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00756,,"""Silver Street/ Midland Mills South""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00756,ETRS89,-1.55498727,53.78987481,0.57,not owned by a public authority,,not permissioned,,,,,279,,,,279,279,,,,19/12/2017,20/12/2022,2019,429314,432733,,SHL007561
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00758,,"""Water Inn Car Park""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00758,ETRS89,-1.55115895,53.79177882,0.18,not owned by a public authority,,not permissioned,,,,,30,,,,30,30,,,,11/07/2016,20/12/2022,2021,429565,432947,,SHL007581
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00759,,"""Clarence Road and Carlisle Road""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00759,ETRS89,-1.52964473,53.78910711,1.45,owned by a public authority,,not permissioned,,,,,114,,,,114,114,,,,19/12/2017,20/12/2022,2022,430984,432659,,SHL007592
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00764,,"""Rear Of Round House""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00764,ETRS89,-1.56111282,53.79401539,0.98,not owned by a public authority,,not permissioned,,,,,160,,,,160,160,,,,11/07/2016,20/12/2022,2027,428908,433192,,SHL007641
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00773,,"""Rod Mills Lane, High Street, Morley""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00773,ETRS89,-1.59514919,53.74178759,1.84,not owned by a public authority,,not permissioned,,,,,15,,,,15,15,,,,11/07/2016,20/12/2022,2036,426699,427368,,SHL007732
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00774,,"""Fall Lane, East Ardsley""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00774,ETRS89,-1.52821741,53.72928581,0.61,not owned by a public authority,yes,not permissioned,,,,,21,,,,21,21,,,,21/12/2020,20/12/2022,2037,431122,426005,,SHL007741
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00783,,"""West Park Centre, LS16""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00783,ETRS89,-1.60045905,53.83301101,2.30,owned by a public authority,yes,permissioned,full planning permission,13/02/2018,,,31,Erection of 50 dwellings with associated access and landscaping,,,31,31,,,,19/12/2017,20/12/2022,2049,426292,437514,17/06427/FU,SHL007831
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00856,,"""Kendall Drive, Halton Moor""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00856,ETRS89,-1.48193043,53.79384820,0.50,owned by a public authority,,not permissioned,,,,,15,,,,15,15,,,,11/07/2016,20/12/2022,2142,434123,433208,,SHL008561
